Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\Application\Application.csproj,File,src\Application\Application.csproj,,,Microsoft.AspNetCore.SignalR.Client 7.0.10,,,,,"Microsoft.AspNetCore.SignalR.Client, 7.0.10  Recommendation:  Remove Microsoft.AspNetCore.SignalR.Client, and replace with new package Microsoft.AspNetCore.SignalR.Client 10.0.8"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\Application\Application.csproj,File,src\Application\Application.csproj,,,Microsoft.EntityFrameworkCore 7.0.10,,,,,"Microsoft.EntityFrameworkCore, 7.0.10  Recommendation:  Remove Microsoft.EntityFrameworkCore, and replace with new package Microsoft.EntityFrameworkCore 10.0.8"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\Application\Application.csproj,File,src\Application\Application.csproj,,,Microsoft.Extensions.Configuration.Binder 7.0.4,,,,,"Microsoft.Extensions.Configuration.Binder, 7.0.4  Recommendation:  Remove Microsoft.Extensions.Configuration.Binder, and replace with new package Microsoft.Extensions.Configuration.Binder 10.0.8"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\Application\Application.csproj,File,src\Application\Application.csproj,,,Microsoft.Extensions.Localization.Abstractions 7.0.10,,,,,"Microsoft.Extensions.Localization.Abstractions, 7.0.10  Recommendation:  Remove Microsoft.Extensions.Localization.Abstractions, and replace with new package Microsoft.Extensions.Localization.Abstractions 10.0.8"
NuGet.0004,NuGet package contains security vulnerability,Active,Optional,1,src\Application\Application.csproj,File,src\Application\Application.csproj,,,AutoMapper 12.0.1,,,,,"AutoMapper, 12.0.1  Recommendation:  AutoMapper, 16.1.1"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,src\Application\Application.csproj,File,src\Application\Application.csproj,,,AutoMapper.Extensions.Microsoft.DependencyInjection 12.0.1,,,,,"AutoMapper.Extensions.Microsoft.DependencyInjection, 12.0.1  Recommendation:  The functionality of this package is now included directly in AutoMapper. Remove AutoMapper.Extensions.Microsoft.DependencyInjection, and replace with new package AutoMapper.Extensions.Microsoft.DependencyInjection, 12.0.1"
NuGet.0004,NuGet package contains security vulnerability,Active,Optional,1,src\Application\Application.csproj,File,src\Application\Application.csproj,,,System.Linq.Dynamic.Core 1.3.4,,,,,"System.Linq.Dynamic.Core, 1.3.4  Recommendation:  System.Linq.Dynamic.Core, 1.7.2"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\Application\Application.csproj,File,src\Application\Application.csproj,,,,,,,,Current target framework: net7.0 Recommended target framework: net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\Application\Application.csproj,File,src\Application\Services\Message\SMSMessageService.cs,39,16,T:System.Net.Http.HttpContent,,,,,var content = await res.Content.ReadAsStringAsync();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\Application\Application.csproj,File,src\Application\Services\Message\SMSMessageService.cs,37,16,T:System.Net.Http.HttpContent,,,,,"var req = new HttpRequestMessage(HttpMethod.Post, url) { Content = new FormUrlEncodedContent(nvc) };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\Application\Application.csproj,File,src\Application\Services\Message\SMSMessageService.cs,28,12,T:System.Net.ServicePointManager,,,,,ServicePointManager.ServerCertificateValidationCallback = delegate { return true; };
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\Application\Application.csproj,File,src\Application\Common\Extensions\ExpressionExtensions.cs,372,8,T:System.Text.Json.JsonDocument,,,,,using (JsonDocument document = JsonDocument.ParseValue(ref reader))          {              return document.RootElement.Clone().ToString();          }
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\Application\Application.csproj,File,src\Application\Common\Extensions\ExpressionExtensions.cs,372,8,T:System.Text.Json.JsonDocument,,,,,using (JsonDocument document = JsonDocument.ParseValue(ref reader))          {              return document.RootElement.Clone().ToString();          }
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\Application\Application.csproj,File,src\Application\DependencyInjection.cs,20,8,T:Microsoft.Extensions.DependencyInjection.ServiceCollectionExtensions,,,,,"services.AddMediatR(config => {              config.RegisterServicesFromAssembly(Assembly.GetExecutingAssembly());              config.NotificationPublisher = new ParallelNoWaitPublisher();              config.AddOpenBehavior(typeof(RequestExceptionProcessorBehavior<,>));              config.AddOpenBehavior(typeof(ValidationBehaviour<,>));              config.AddOpenBehavior(typeof(AuthorizationBehaviour<,>));              config.AddOpenBehavior(typeof(CachingBehaviour<,>));              config.AddOpenBehavior(typeof(CacheInvalidationBehaviour<,>));              config.AddOpenBehavior(typeof(PerformanceBehaviour<,>));              config.AddOpenBehavior(typeof(UnhandledExceptionBehaviour<,>));            });"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\Application\Application.csproj,File,src\Application\DependencyInjection.cs,18,8,T:Microsoft.Extensions.DependencyInjection.ServiceCollectionExtensions,,,,,services.AddAutoMapper(Assembly.GetExecutingAssembly());
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,tests\Application.IntegrationTests\Application.IntegrationTests.csproj,File,tests\Application.IntegrationTests\Application.IntegrationTests.csproj,,,,,,,,Current target framework: net7.0 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,tests\Application.UnitTests\Application.UnitTests.csproj,File,tests\Application.UnitTests\Application.UnitTests.csproj,,,,,,,,Current target framework: net7.0 Recommended target framework: net10.0
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,tests\Application.UnitTests\Application.UnitTests.csproj,File,tests\Application.UnitTests\Common\Mappings\MappingTests.cs,54,8,T:System.Runtime.Serialization.FormatterServices,,,,,return FormatterServices.GetUninitializedObject(type);
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\Blazor.Server.UI\Blazor.Server.UI.csproj,File,src\Blazor.Server.UI\Blazor.Server.UI.csproj,,,Microsoft.EntityFrameworkCore.Tools 7.0.10,,,,,"Microsoft.EntityFrameworkCore.Tools, 7.0.10  Recommendation:  Remove Microsoft.EntityFrameworkCore.Tools, and replace with new package Microsoft.EntityFrameworkCore.Tools 10.0.8"
NuGet.0004,NuGet package contains security vulnerability,Active,Optional,1,src\Blazor.Server.UI\Blazor.Server.UI.csproj,File,src\Blazor.Server.UI\Blazor.Server.UI.csproj,,,SixLabors.ImageSharp 3.0.1,,,,,"SixLabors.ImageSharp, 3.0.1  Recommendation:  SixLabors.ImageSharp, 4.0.0"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\Blazor.Server.UI\Blazor.Server.UI.csproj,File,src\Blazor.Server.UI\Blazor.Server.UI.csproj,,,,,,,,Current target framework: net7.0 Recommended target framework: net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\Blazor.Server.UI\Blazor.Server.UI.csproj,File,src\Blazor.Server.UI\Program.cs,118,4,"M:Microsoft.AspNetCore.Builder.ExceptionHandlerExtensions.UseExceptionHandler(Microsoft.AspNetCore.Builder.IApplicationBuilder,System.String)",,,,,"app.UseExceptionHandler(""/Error"");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\Blazor.Server.UI\Blazor.Server.UI.csproj,File,src\Blazor.Server.UI\Program.cs,75,0,T:System.Uri,,,,,"builder.Services.AddScoped(sp => new HttpClient { BaseAddress = new Uri(""https://localhost:7226/"") });"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\Blazor.Server.UI\Blazor.Server.UI.csproj,File,src\Blazor.Server.UI\Program.cs,75,0,M:System.Uri.#ctor(System.String),,,,,"builder.Services.AddScoped(sp => new HttpClient { BaseAddress = new Uri(""https://localhost:7226/"") });"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\Blazor.Server.UI\Blazor.Server.UI.csproj,File,src\Blazor.Server.UI\Program.cs,75,0,T:System.Uri,,,,,"builder.Services.AddScoped(sp => new HttpClient { BaseAddress = new Uri(""https://localhost:7226/"") });"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\Blazor.Server.UI\Blazor.Server.UI.csproj,File,src\Blazor.Server.UI\Program.cs,53,4,M:System.TimeSpan.FromSeconds(System.Double),,,,,options.KeepAliveInterval = TimeSpan.FromSeconds(15);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\Blazor.Server.UI\Blazor.Server.UI.csproj,File,src\Blazor.Server.UI\Program.cs,52,4,M:System.TimeSpan.FromSeconds(System.Double),,,,,options.HandshakeTimeout = TimeSpan.FromSeconds(15);
